|bandpass_frequency|       bandpass_weight|
|            double|                double|
|               GHz|                      |
|              null|                  null|
              150.0  4.438478074879999e-14 
              150.5  4.638694144319999e-14 
              151.0 4.8490764163199997e-14 
              151.5      5.07008388128e-14 
              152.0 5.3022754332799994e-14 
              152.5 5.5463197132800003e-14 
              153.0  5.802833358079999e-14 
              153.5      6.07254897152e-14 
              154.0  6.356236150079998e-14 
              154.5      6.65470312448e-14 
              155.0  6.968704013119998e-14 
              155.5      7.29912282912e-14 
              156.0      7.64698604672e-14 
              156.5      8.01307105568e-14 
              157.0  8.398598408000001e-14 
              157.5  8.804538840319998e-14 
              158.0  9.232122021119999e-14 
              158.5  9.682641472320002e-14 
              159.0 1.0157115391999998e-13 
              159.5 1.0657182415679997e-13 
              160.0 1.1184096799999998e-13 
              160.5 1.1739532574719997e-13 
              161.0 1.2324876802879999e-13 
              161.5 1.2941959435519999e-13 
              162.0 1.3592443393279997e-13 
              162.5 1.4278201692479998e-13 
              163.0     1.500105990272e-13 
              163.5 1.5763350658880002e-13 
              164.0     1.656680514848e-13 
              164.5     1.741381079328e-13 
              165.0     1.830656931968e-13 
              165.5 1.9247533921279998e-13 
              166.0 2.0238949478719994e-13 
              166.5     2.128364108928e-13 
              167.0     2.238372526112e-13 
              167.5     2.354206966272e-13 
              168.0 2.4761313677120005e-13 
              168.5     2.604382740992e-13 
              169.0 2.7392041799999997e-13 
              169.5     2.880883267712e-13 
              170.0 3.0295994319679996e-13 
              170.5     3.185611080192e-13 
              171.0 3.3490583385919993e-13 
              171.5 3.5201171911680004e-13 
              172.0     3.698895366272e-13 
              172.5     3.885401481728e-13 
              173.0  4.079601885311999e-13 
              173.5 4.2813700393280005e-13 
              174.0 4.4904290944320003e-13 
              174.5     4.706336544032e-13 
              175.0         4.92854408e-13 
              175.5     5.156262380672e-13 
              176.0  5.388492970111999e-13 
              176.5     5.623826238752e-13 
              177.0     5.860600646688e-13 
              177.5  6.096612967200001e-13 
              178.0     6.329368899872e-13 
              178.5     6.556168120608e-13 
              179.0       6.7735554048e-13 
              179.5  6.976516930687999e-13 
              180.0           7.159328e-13 
              180.5    9.8634577332334e-13 
              181.0   1.26132565019367e-12 
              181.5   1.74999140490024e-12 
              182.0 2.2334544761642104e-12 
              182.5  3.115630504068455e-12 
              183.0 3.9545460175275004e-12 
              183.5    5.4870514330203e-12 
              184.0  6.859069031587501e-12 
              184.5    9.3749761657173e-12 
              185.0 1.1427046469259901e-11 
              185.5  1.527237368264335e-11 
              186.0   1.79612402178428e-11 
              186.5 2.3334649967772802e-11 
              187.0  2.619542898475917e-11 
              187.5  3.309217970849803e-11 
              188.0  3.532827056866283e-11 
              188.5 4.3940500022770243e-11 
              189.0  4.636013203156851e-11 
              189.5  6.361703099252735e-11 
              190.0  8.216496702535187e-11 
              190.5  1.633420363175053e-10 
              191.0  2.980263620817051e-10 
              191.5  7.737286882815196e-10 
              192.0 1.5387954630572797e-09 
              192.5  4.167667345129231e-09 
              193.0  7.998865745653548e-09 
              193.5 1.9782197063037113e-08 
              194.0 3.5473571415909154e-08 
              194.5  5.947541072160039e-08 
              195.0  8.844928719693714e-08 
